# Start logging at 2022-02-10 06:58:52 Tokyo Standard Time
[06:58:52]  chef_zack: Pog
[11:02:00]  robertzarmy: stfu 󠀀
[11:02:02]  chisasfam: Zetto I have 5 mil channel points
[11:02:06]  babsmcnh: omg babs sent something again wtf is it now
[11:02:15]  nightbot: Check out my Socials!: Twitter https://twitter.com/ktrZetto Youtube https://www.youtube.com/ktrZetto Discord https://discord.gg/T4GrmEbfcS
[11:02:15]  babsmcnh: they love you
[11:02:22]  babsmcnh: they love you in clintcord
[11:02:39]  babsmcnh: lmao
[11:02:44]  rinta_rnt: Porno Graffitti Hub
[11:02:45]  cosmicmikan: i could
[11:02:50]  babsmcnh: Pog
[11:02:51]  cosmicmikan: but i wasted like 50k betting
[11:03:03]  cosmicmikan: and then got vip
[11:03:07]  robertzarmy: im gonna ping zetto in clintcord!!!!!!!!!!
[11:03:20]  chisasfam: Look in discord
[11:03:21]  chisasfam: I do
[11:03:32]  cosmicmikan: LMAO
[11:03:37]  babsmcnh: damnnn
[11:03:37]  cosmicmikan: i got fucked
[11:03:39]  cosmicmikan: naa i dont care
[11:03:41]  robertzarmy: i like how the only time zetto comes to clintcord of his own volition is to say he got a marin body pillow
[11:03:59]  cosmicmikan: a pic of their points
[11:04:07]  robertzarmy: anime balls
[11:04:18]  babsmcnh: chisa about to fuck you up
[11:04:22]  chisasfam: LMFAO
[11:04:35]  chisasfam: Might remove mask 5 times
[11:04:40]  chisasfam: Im on mobile
[11:04:40]  rinta_rnt: 魅裏怨っていくつ
[11:04:43]  robertzarmy: what happens if take off mask gets redeemed 5 times
[11:04:45]  robertzarmy: do you get naked?
[11:04:50]  cosmicmikan: WutFace
[11:04:53]  cosmicmikan: pls dont
[11:05:05]  rinta_rnt: みりおん
[11:05:08]  chisasfam: Nono mil is thousand In Portuguese
[11:05:11]  babsmcnh: no one wants to see that
[11:05:18]  chisasfam: Sadly I don’t have 5 mil
[11:05:22]  chisasfam: Maybe one day
[11:05:26]  robertzarmy: ban this guy for lying
[11:05:35]  robertzarmy: Kissahomie
[11:05:50]  babsmcnh: get fucked Kissahomie not an emote
[11:06:00]  robertzarmy: it is
[11:06:05]  chisasfam: Not lying we do abit of trolling
[11:06:08]  babsmcnh: zetto whos ur favourite chatter
[11:06:15]  babsmcnh: say it bitch
[11:06:18]  cosmicmikan: LOL
[11:06:25]  chisasfam: Babs its me and you
[11:06:26]  robertzarmy: im the favorite chatter
[11:06:26]  cosmicmikan: aggressive, i like it
[11:06:28]  chisasfam: We’re the favourite
[11:06:31]  babsmcnh: so we can kill them
[11:06:33]  babsmcnh: i mean
[11:06:35]  robertzarmy: its literally me
[11:06:37]  cosmicmikan: HAHAHA
[11:06:39]  babsmcnh: so we can praise them
[11:06:51]  cosmicmikan: yeah right robert
[11:06:53]  babsmcnh: give out best chatter award 2022 rn
[11:07:00]  cosmicmikan: thats a load of bullpocky
[11:07:11]  laurabraus: bull....pocky...
[11:07:16]  cosmicmikan: LOL
[11:07:17]  robertzarmy: its probably me tho? right
[11:07:20]  chef_zack: its kaeos
[11:07:20]  robertzarmy: me? maybe
[11:07:22]  chisasfam: It’s me smh
[11:07:29]  babsmcnh: either always here or always funny to you
[11:07:36]  chisasfam: Zetto can you say the following “my favourite chatter is”
[11:07:37]  robertzarmy: likes the guy who gifts the most subs OMEGALUL
[11:07:43]  cosmicmikan: ktrzetSmile
[11:07:57]  chisasfam: Then say “chi” then “sa”
[11:07:58]  laurabraus: ktrzetSmile
[11:08:03]  babsmcnh: kiy0t3 is pretty cool
[11:08:04]  rinta_rnt: ktrzetSmile
[11:08:17]  cosmicmikan: yeah he's chill
[11:08:19]  robertzarmy: hes nice and he gifted 50 subs.
[11:08:21]  babsmcnh: we need a tier list
[11:08:21]  laurabraus: agreed
[11:08:23]  robertzarmy: but he also gifted 50 subs.
[11:08:28]  babsmcnh: rob can be at the bottom
[11:08:31]  cosmicmikan: i remember when the three of us was in vc
[11:08:33]  babsmcnh: i'll be at top EZZ
[11:08:36]  cosmicmikan: watching random shit
[11:08:43]  laurabraus: mikan a veteran
[11:08:44]  chef_zack: im z tier PepeLaugh
[11:08:50]  babsmcnh: OMEGALUL
[11:08:55]  robertzarmy: you have to put me at the bottom just cause how it is
[11:09:01]  babsmcnh: ok ok zetto
[11:09:02]  robertzarmy: but im actually top tier.
[11:09:12]  babsmcnh: whos ur least favourite chatter PepeLaugh
[11:09:12]  chisasfam: You can tier list us based of our brawlhalla rank
[11:09:12]  cosmicmikan: HAHA
[11:09:16]  babsmcnh: i kid i kid
[11:09:20]  chisasfam: I’ll be at the top either way it’s okay
[11:09:20]  robertzarmy: babs gf?
[11:09:21]  babsmcnh: do not say anything
[11:09:26]  babsmcnh: ?
[11:09:31]  robertzarmy: godfield?
[11:09:42]  babsmcnh: thank fuck you meant godfield
[11:09:50]  robertzarmy: babs girlfriend???
[11:09:53]  babsmcnh: nah i need to do school work while watching
[11:10:11]  chisasfam: Who did you main in brawlhalla
[11:10:15]  babsmcnh: yeah either you thought i meant i was someones girlfriend or that i had a girlfriend
[11:10:20]  babsmcnh: either is a no Sadge
[11:10:20]  chisasfam: Brawlhalla is good
[11:10:25]  robertzarmy: i play rocket league
[11:10:28]  chisasfam: I am a proud Yumiko main
[11:10:32]  babsmcnh: rank on the funny game
[11:10:44]  chisasfam: Ranked Hypixel bedwars
[11:10:59]  babsmcnh: bedwars is hard af
[11:11:05]  babsmcnh: i aint gonna lie
[11:11:07]  robertzarmy: i used to be good at bedwars
[11:11:17]  chisasfam: Bedwars is overly stressful
[11:11:24]  chisasfam: Only on solos tho
[11:11:38]  robertzarmy: i could still smack everyone in this chat in pvp tho
[11:11:57]  chisasfam: Fine rank us based of our gmod hours
[11:12:03]  babsmcnh: where is mango
[11:12:08]  chisasfam: I have 1.5k hours in gmod
[11:12:13]  babsmcnh: she hasnt been here for a while Sadge
[11:12:13]  robertzarmy: mango is a guy
[11:12:17]  robertzarmy: who plays smash
[11:12:21]  chef_zack: mangoW
[11:12:33]  robertzarmy: not mango?
[11:12:33]  babsmcnh: new frog PepeLaugh
[11:12:51]  chisasfam: Rob do you do new pvp or 1,8 pvp
[11:12:55]  robertzarmy: 1.8
[11:13:03]  babsmcnh: our mango is a CBT queen who tortures zetto on the daily for happiness
[11:13:10]  chisasfam: Also zetto Gmod is very fun when you’re bored
[11:13:11]  babsmcnh: thats our mango
[11:13:19]  cosmicmikan: @babsmcnh we love to see him suffer
[11:13:30]  babsmcnh: oh shit gmod is dope i have gmod Pog
[11:13:38]  babsmcnh: cock ball torture
[11:13:38]  chef_zack: cock ball torture
[11:13:42]  babsmcnh: other CBT
[11:13:44]  chisasfam: well yeah
[11:13:46]  robertzarmy: computer based technology
[11:13:53]  chisasfam: I think it changed abit in 1.18 ?
[11:14:15]  cosmicmikan: glad we worked that out.
[11:14:21]  babsmcnh: lmao
[11:14:25]  chef_zack: based RZ
[11:14:26]  chef_zack: EZ
[11:14:40]  laurabraus: cbt cheese bacon tomato
[11:14:47]  chisasfam: Balls more like halls
[11:14:50]  cosmicmikan: @laurabraus i can't with you LMAO
[11:14:55]  babsmcnh: she does torture you for giggles tho
[11:15:02]  laurabraus: exactly
[11:15:12]  robertzarmy: im leaving for valorant goodbye. stream well, ktr.
[11:15:12]  chisasfam: Zetto SMP when
[11:15:21]  babsmcnh: it works
[11:15:27]  babsmcnh: bye rob
[11:15:49]  babsmcnh: you must be boring as fuck
[11:15:50]  chef_zack: this is clearly not a top chatter
[11:15:55]  chef_zack: he plays valorant OMEGALUL
[11:15:56]  robertzarmy: also babs i just wanna say you are getting no work done sending this many messages
[11:16:04]  babsmcnh: yeah i know EZ
[11:16:16]  babsmcnh: i have 8 quesitons im taking my time
[11:16:21]  chef_zack: doesnt wanna spend the 7.99 Sadge
[11:16:21]  robertzarmy: :/
[11:16:23]  babsmcnh: someone needs to believe
[11:16:27]  babsmcnh: OMEGALUL
[11:16:29]  babsmcnh: oh
[11:16:32]  cosmicmikan: whats smp
[11:16:35]  babsmcnh: i thought you meant 10K subs
[11:16:47]  babsmcnh: i was like wtf man you're rich then how frugal
[11:16:58]  babsmcnh: minecraft server i think mikan
[11:17:04]  chisasfam: The entertainment pole should go Chisasfam , Zetto, Mario , gmod then Afew more games, streamers ect THEN Valorant
[11:17:18]  babsmcnh: true
[11:17:27]  babsmcnh: wait where am i on the list
[11:17:31]  babsmcnh: i am pure content
[11:17:33]  chisasfam: @cosmicmikan it’s Survival Multiplayer
[11:17:46]  chisasfam: Baba you are between zetto and Mario
[11:17:46]  babsmcnh: it is pepega content but its the best kind of content
[11:17:56]  chisasfam: Babs**
[11:18:22]  babsmcnh: oh yeah zetto i forgot to reply i look like OG hermione
[11:18:29]  cosmicmikan: ahh ok
[11:18:35]  babsmcnh: like first movie hermione not looking great
[11:18:54]  cosmicmikan: naa ur a qt
[11:18:56]  babsmcnh: @Chisasfam wait.... are you saying ZETTO is funnier than me?!
[11:19:02]  babsmcnh: FeelsWeirdMan
[11:19:07]  babsmcnh: i thought we were homies
[11:19:23]  babsmcnh: @cosmicmikan thankssss
[11:19:26]  babsmcnh: LUL
[11:19:36]  cosmicmikan: ktrzetSmile
[11:19:36]  babsmcnh: bro thats what i looked like
[11:19:37]  chisasfam: Hmm true okay so youre between me and zetto , just place yourself in that gap somewhere
[11:19:43]  babsmcnh: not like 8th movie hermione
[11:19:52]  babsmcnh: good good
[11:20:11]  chisasfam: Zetto are you a talented individual
[11:20:15]  babsmcnh: i just had to force you to move me up the entertainment pole
[11:20:19]  starfyanddeltarunefan: Qabuse @babsmcnh
[11:20:20]  babsmcnh: im fucking hilarious though
[11:20:28]  babsmcnh: have you seen my memes
[11:20:34]  babsmcnh: they're incredible
[11:20:37]  chisasfam: No babs you made me see the truth , I was blind
[11:20:38]  babsmcnh: provocative
[11:20:47]  babsmcnh: @starfyanddeltarunefan still hacked motherfucker
[11:20:52]  chisasfam: Yes but babs has a cool sub badge
[11:21:09]  babsmcnh: @Chisasfam of course ktrzetAY
[11:21:15]  babsmcnh: ye im golden
[11:21:33]  huckleberry262: bbytesGold_SG
[11:21:48]  starfyanddeltarunefan: adult swim is funny, have you ever watched rick and morty, or aqua teen hunger force, or the venture bros
[11:21:49]  huckleberry262: fuck
[11:21:54]  chisasfam: Paimon genshin impact
[11:22:19]  cosmicmikan: SOMEONE SAID GENSHIN
[11:22:21]  chef_zack: BatChest
[11:22:40]  babsmcnh: adult swim is good except for those specific shows
[11:22:48]  starfyanddeltarunefan: @starfyanddeltarunefan oh ok, ill remove the virus
[11:22:49]  babsmcnh: FeelsOkayMan
[11:23:02]  babsmcnh: thanks starfy
[11:23:04]  chisasfam: Inside job is like Rick and Morty and Gravity falls had a baby
[11:23:18]  babsmcnh: zack you made me look at discord
[11:23:24]  babsmcnh: you never responded
[11:23:29]  chef_zack: how so
[11:23:37]  babsmcnh: i wanted to send a pic of me
[11:23:40]  chisasfam: I used to sweat genshin 6-12 hours a day, then I stopped
[11:23:44]  starfyanddeltarunefan: @babsmcnh no problem
[11:23:46]  babsmcnh: so you could see what i looked like
[11:24:08]  babsmcnh: POGGERS
[11:24:16]  babsmcnh: I-IS THAT A GREEN
[11:24:18]  chef_zack: which one
[11:24:18]  babsmcnh: NO WAYYYY
[11:24:19]  chisasfam: Inside job is a Netflix series
[11:24:21]  starfyanddeltarunefan: im setting time back to 2006
[11:24:35]  babsmcnh: @Chef_Zack what do you mean which one
[11:24:44]  chisasfam: Zetto let’s get some yellows
[11:24:54]  babsmcnh: @starfyanddeltarunefan oh shit i cant wait to watch nickelodeon again
[11:25:03]  chef_zack: mb i misread
[11:25:08]  nightbot: Check out my Socials!: Twitter https://twitter.com/ktrZetto Youtube https://www.youtube.com/ktrZetto Discord https://discord.gg/T4GrmEbfcS
[11:25:14]  starfyanddeltarunefan: @babsmcnh do you stream
[11:25:17]  chef_zack: which discord did you send a message to me in
[11:25:28]  babsmcnh: @starfyanddeltarunefan nope :))))
[11:25:36]  babsmcnh: i did like 4 years ago
[11:25:49]  babsmcnh: im just chat now i realize im a great hypeman
[11:26:08]  babsmcnh: i do it for free too its crazy
[11:26:24]  babsmcnh: @Chef_Zack i thought you were in offline anime nights
[11:26:28]  starfyanddeltarunefan: @babsmcnh wow, and krt wont get you a dollhouse
[11:26:29]  chef_zack: i am
[11:26:33]  chef_zack: you didnt send a message
[11:26:42]  chisasfam: NOOOO
[11:26:45]  chisasfam: THE YELLOW NOOO
[11:26:51]  babsmcnh: no problem man
[11:26:57]  babsmcnh: @Chef_Zack what.
[11:27:01]  babsmcnh: lemme try again
[11:27:09]  babsmcnh: @babsmcnh ikr fucking ridiculous
[11:27:12]  chef_zack: mf doesnt know how to send a message
[11:27:20]  babsmcnh: the jokes are like 100% babs based
[11:27:26]  babsmcnh: @Chef_Zack mcscuse me
[11:27:40]  chisasfam: If you yellow I’ll smile irl In person
[11:27:41]  babsmcnh: BITCH
[11:27:41]  chef_zack: is that a eu mcdonalds item
[11:27:44]  babsmcnh: ur name chef
[11:27:48]  babsmcnh: not chef_zack
[11:27:55]  babsmcnh: omg ur consistency is whack
[11:28:10]  chef_zack: its pretty consistent
[11:28:27]  chisasfam: Zetto what’s your favourite Pokémon
[11:28:34]  babsmcnh: i sent a pic of me
[11:28:41]  babsmcnh: @Chef_Zack
[11:28:44]  babsmcnh: did you see it
[11:28:51]  chef_zack: you spent all that effort
[11:28:55]  babsmcnh: lmao
[11:28:58]  chef_zack: for the most low effort picture ever
[11:29:04]  babsmcnh: wait i'll actually send one
[11:29:21]  chisasfam: YELLOW
[11:29:29]  chisasfam: Let’s go the split yellowed
[11:29:42]  babsmcnh: i look stupid one sec
[11:29:46]  starfyanddeltarunefan: can i turn the world back into fuedalism
[11:29:48]  babsmcnh: i'll find a pic from this week
[11:29:57]  chisasfam: I like Vulpix and people think it’s weird >:(
[11:30:09]  starfyanddeltarunefan: @Chisasfam nobody cares! nobody cares!
[11:30:15]  nightbot: What's up, local degenerate shillbot here to tell you that if you have Amazon Prime, you can link it with your Twitch account for a free sub!
[11:30:23]  chisasfam: Shush star smh
[11:30:38]  chisasfam: I care, Spreading love for vulpix
[11:30:46]  babsmcnh: zack
[11:31:01]  starfyanddeltarunefan: but fuedalism is good, cause its heiarchal
[11:31:03]  babsmcnh: fuc you you just made me realize how ugly i am dude
[11:31:14]  babsmcnh: whyd you do that Zack
[11:31:18]  babsmcnh: i thought we were friends
[11:31:31]  babsmcnh: Vulpix good
[11:31:50]  chisasfam: Vulpix cute
[11:31:54]  chisasfam: So is flareon
[11:32:10]  chisasfam: Yahoo yahoo
[11:32:38]  starfyanddeltarunefan: well modern egalitarianism is dumb
[11:32:41]  babsmcnh: thats a good pic of me zack
[11:32:46]  babsmcnh: ur welcome dude
[11:32:50]  chisasfam: chesPeek chesPeek
[11:33:09]  babsmcnh: wait
[11:33:14]  chisasfam: How do you not know flareon
[11:33:20]  babsmcnh: did i just leave for like 30 seconds
[11:33:22]  chisasfam: One of the eeveelutions
[11:33:26]  babsmcnh: and you start talking about politics
[11:33:33]  babsmcnh: i miss the old zetto man
[11:33:42]  babsmcnh: yeah i know flareon
[11:33:53]  chisasfam: Zetto doesn’t know flareon smh
[11:34:07]  babsmcnh: okay thats odd
[11:34:41]  babsmcnh: fire eevee
[11:34:55]  babsmcnh: yeah
[11:34:56]  chisasfam: Orange eevee
[11:34:59]  babsmcnh: the ugly one
[11:35:00]  babsmcnh: OMEGALUL
[11:35:05]  chisasfam: Babs
[11:35:09]  babsmcnh: HAHAAHHA
[11:35:13]  chisasfam: Eevee is cute and bug eyes
[11:35:16]  chisasfam: Flareon
[11:35:18]  chisasfam: Is cute
[11:35:23]  chisasfam: He is fluffy
[11:35:26]  babsmcnh: im sry you walked right into it
[11:35:31]  starfyanddeltarunefan: @Chisasfam im exiling you to ukraine
[11:35:43]  babsmcnh: ukraine not bad
[11:35:45]  chef_zack: cool babs
[11:35:55]  chisasfam: I can’t go to Ukraine , Brasilian passport
[11:36:01]  chisasfam: Actually I don’t think that matters
[11:36:08]  babsmcnh: thanks Zack FeelsOkayMan thats actually me when i got scared one time
[11:36:19]  chef_zack: respect for showing bad pictures
[11:36:26]  chef_zack: i cant do that
[11:36:27]  babsmcnh: my tactic is to scare the thing thats scaring me
[11:36:37]  babsmcnh: with my face of course
[11:36:48]  starfyanddeltarunefan: @Chisasfam its exile so you dont need a passport for number 1, reason number 2, ts so you can be at risk of invasion
[11:37:07]  chisasfam: Most Sylveons are male and that’s a weird thought
[11:37:22]  starfyanddeltarunefan: @Chisasfam feminine girly boys are cute
[11:37:43]  chisasfam: Well yeah
[11:38:00]  babsmcnh: you know whats even cuter
[11:38:07]  starfyanddeltarunefan: @ktrZetto the whole russia thing is why i choe ukraine as their exile
[11:38:14]  babsmcnh: guys who show their one piece porn and speedrun
[11:38:19]  babsmcnh: PepeLaugh
[11:38:21]  starfyanddeltarunefan: @babsmcnh the legendery starfy
[11:38:25]  chisasfam: Me when
[11:38:34]  chisasfam: @starfyanddeltarunefan what if I just don’t go to exile
[11:38:38]  babsmcnh: LUL
[11:38:43]  babsmcnh: its you zetto.
[11:38:48]  babsmcnh: its you. :)
[11:39:03]  starfyanddeltarunefan: @Chisasfam exile is a punishment, so you dont have a say in the matter
[11:39:15]  chisasfam: What if I just refuse
[11:39:16]  babsmcnh: what hentai did you show that one time
[11:39:18]  starfyanddeltarunefan: hentai is stupid
[11:39:33]  babsmcnh: ohhhh
[11:39:36]  babsmcnh: even worse
[11:39:40]  chisasfam: Yeah you have Naruto porn it’s different
[11:39:46]  babsmcnh: zetto into bald guys confirmed
[11:40:12]  chisasfam: Imagine being bald kinda cringe smh
[11:40:33]  chisasfam: Do you have proof you don’t hold any naruto porn
[11:40:34]  babsmcnh: thats exactly what that means
[11:41:12]  chisasfam: Bc you going “I don’t have it” isn’t very convincing
[11:41:25]  starfyanddeltarunefan: @Chisasfam than you can face charges
[11:41:25]  chisasfam: I could just go “I didn’t murder that guy”
[11:41:51]  chisasfam: How much do I have to pay for the charges
[11:42:26]  babsmcnh: SPPEEEEDDDD
[11:42:34]  chisasfam: Unicorns don’t exist bc I said so?
[11:43:26]  chisasfam: Eyyyy
[11:43:55]  chisasfam: I can prove that they don’t exist
[11:44:00]  chisasfam: I haven’t seen one
[11:44:04]  chisasfam: So they don’t exist
[11:44:08]  babsmcnh: i have
[11:44:27]  chisasfam: Babs ill pay you to say you haven’t
[11:44:37]  babsmcnh: how much
[11:44:44]  chisasfam: 14
[11:44:55]  babsmcnh: haven't seen one musta been trippin
[11:45:13]  babsmcnh: unicorns dont exist zetto dont be a dummy
[11:45:13]  chisasfam: Nor me or babs have seen a unicorn
[11:45:16]  chisasfam: They don’t exist
[11:45:20]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[11:45:21]  babsmcnh: okay send it to my paypal
[11:45:28]  chisasfam: Okay what currency
[11:45:35]  babsmcnh: the highest
[11:45:41]  chisasfam: I can send you 14 won
[11:45:43]  babsmcnh: 14 gold vars
[11:45:47]  babsmcnh: ohhh my lord
[11:45:51]  babsmcnh: that is horrid
[11:45:59]  babsmcnh: pounds send me pounds
[11:46:12]  chisasfam: How about Brasilian Reals
[11:46:25]  chisasfam: Pounds are … they’re too uhh too expensive
[11:46:35]  babsmcnh: thats like 1 pound
[11:46:38]  babsmcnh: OMEGALUL
[11:46:43]  chisasfam: Exactly
[11:46:52]  babsmcnh: you know what keep the money
[11:46:58]  chisasfam: I think I have -£1.09 in my bank
[11:47:00]  babsmcnh: and then i'll have interest hehehe
[11:47:09]  chisasfam: That’s the APR
[11:47:14]  babsmcnh: in ten years you'll owe me millions
[11:47:27]  babsmcnh: Anus Pussy Region
[11:47:28]  chisasfam: Invest in Chisasfam stocks
[11:47:47]  babsmcnh: understandable you dont know what APR is Zetto all good
[11:47:54]  chisasfam: It’s like Anual something
[11:48:01]  chisasfam: I think
[11:48:10]  babsmcnh: Annual Profit Rate or something like that
[11:48:22]  cosmicmikan: wow!
[11:48:25]  chisasfam: I hear it in the adverts when banks are like 10% APR or whatever
[11:49:10]  babsmcnh: @Chef_Zack oh search for pictures in the anime discord i still have some left there
[11:49:14]  babsmcnh: needa delete them
[11:49:24]  babsmcnh: but i look like that with bangs
[11:49:38]  chisasfam: Zetto having a struggle
[11:49:39]  babsmcnh: too lazy to get my phone c:
[11:49:48]  babsmcnh: Stonks
[11:50:11]  nightbot: Check out my Socials!: Twitter https://twitter.com/ktrZetto Youtube https://www.youtube.com/ktrZetto Discord https://discord.gg/T4GrmEbfcS
[11:50:35]  babsmcnh: i invest in my future
[11:50:42]  babsmcnh: you should invest in it too
[11:50:47]  babsmcnh: for a small price
[11:50:53]  chisasfam: I wanna get into investing but I don’t wanna invest into companies that have shitty CEOs
[11:50:53]  babsmcnh: of 10K per month
[11:50:59]  babsmcnh: yeah im brilliant dude
[11:51:06]  babsmcnh: nah i have potential though
[11:51:12]  chisasfam: Babs I’ll invest into your future
[11:51:15]  babsmcnh: eyyy
[11:51:23]  cosmicmikan: damn he used 'buddy'
[11:51:26]  cosmicmikan: its over for you
[11:51:35]  babsmcnh: with your 14 brazilian reals OMEGALUL
[11:51:43]  chisasfam: Zero you are so self centred , don’t invest in yourself invest in your friends
[11:51:51]  cosmicmikan: ZERO
[11:51:54]  chisasfam: Actually I have 4 brasilian reals >:(
[11:52:04]  babsmcnh: ahhhh my bad
[11:52:06]  babsmcnh: lol
[11:52:11]  chisasfam: Exactly
[11:52:18]  babsmcnh: i'll look out for you
[11:52:27]  chisasfam: ZETTO NOT ZERO
[11:52:31]  chisasfam: stupid phone
[11:52:40]  babsmcnh: zetto all you have to do is get 3 friends to join this pyramid scheme, and you'll be rich soon enough
[11:52:59]  chisasfam: 3 friends right here
[11:53:00]  babsmcnh: omg
[11:53:13]  chisasfam: Me babs and cosmic
[11:53:20]  babsmcnh: ???
[11:53:24]  babsmcnh: friends
[11:53:27]  chisasfam: Zetto can join too i guess :/
[11:53:36]  babsmcnh: zetto and i ktrzetThinkHYPER
[11:53:38]  cosmicmikan: bitch you give ME 20
[11:53:42]  babsmcnh: we are homies
[11:53:54]  babsmcnh: homies dont give money to other homies
[11:53:55]  cosmicmikan: had to try
[11:54:00]  babsmcnh: unless the other homie is a girl
[11:54:10]  babsmcnh: that is the homie code
[11:54:18]  chisasfam: Zetto I have $21 what do I do then?
[11:54:38]  cosmicmikan: ok give me a cut of the profits
[11:54:41]  babsmcnh: what a saint
[11:54:59]  cosmicmikan: WutFace
[11:55:02]  chisasfam: But if I give you the 20 the 1 will be lonely
[11:55:08]  cosmicmikan: im too lazy
[11:55:12]  cosmicmikan: sounds like a lot of work
[11:55:14]  babsmcnh: if you get me the $21 i'll make sure the $20 goes to zetto and i'll make sure the $1 wont be lonely
[11:55:24]  cosmicmikan: LUL
[11:55:29]  babsmcnh: 13.7
[11:55:39]  babsmcnh: damn
[11:55:48]  chisasfam: But right if the one will be segregated from their friends
[11:56:00]  chisasfam: So theyll still be lonely , just surrounded by strangers
[11:56:19]  chisasfam: Zetto I won’t give you 21 bc you asked for 20
[11:57:19]  cosmicmikan: oki i have to go study now
[11:57:24]  cosmicmikan: smell you nerds later
[11:57:31]  chisasfam: Gl hf
[11:57:36]  cosmicmikan: NotLikeThis
[11:57:52]  cosmicmikan: tyty
[11:58:01]  chisasfam: Zetto this will be the last run I watch I need to sleep after this
[11:58:03]  babsmcnh: zetto
[11:58:11]  chisasfam: But 21 is an awkward number why ask for 21
[11:58:13]  babsmcnh: you never asked how i was doing
[11:58:19]  babsmcnh: tf
[11:58:37]  chisasfam: Streamer doesn’t care for his followers well being
[11:58:46]  babsmcnh: im okay thanks :)
[11:59:00]  babsmcnh: yeah its a little creepy that you asked me how my day was
[11:59:09]  babsmcnh: asking a lot of info about me
[11:59:13]  chisasfam: Over stepping boundaries here
[11:59:14]  babsmcnh: monkaW
[11:59:22]  babsmcnh: yeyey weird streamer
[11:59:25]  babsmcnh: OMEGALUL
[11:59:27]  chisasfam: Parasocial relationship
[11:59:56]  chisasfam: Zetto is not our friend he provides us with content that’s it that’s where the line is drawn
[12:00:03]  babsmcnh: you're so awkward you have a parasocial relationship with us Sadge
[12:00:22]  babsmcnh: Zetto is my friend
[12:00:22]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[12:00:29]  babsmcnh: he thinks im hilarious
[12:00:45]  babsmcnh: and i need as many friends as i can get SadCatW
[12:00:57]  fredmanftw: Hey Zetto finally home from work
[12:01:05]  chisasfam: Zetto is dream but for Mario and not a cult following
[12:01:05]  babsmcnh: okay from zettos response i dont even think he enjoys tlaking to me
[12:01:06]  fredmanftw: How have the run gone? :)
[12:01:08]  chisasfam: Why? Bc I said so
[12:01:11]  fredmanftw: runs*
[12:01:17]  nightbot: What's up, local degenerate shillbot here to tell you that if you have Amazon Prime, you can link it with your Twitch account for a free sub!
[12:01:25]  babsmcnh: i needa sub to streamers who can fake their response better smh
[12:01:44]  babsmcnh: @Chisasfam true
[12:01:49]  babsmcnh: thats what the mask is
[12:01:56]  chisasfam: Babs it’s okay I enjoy talking to you and I’ll be happy to take your sub- i mean enjoy your company
[12:02:15]  babsmcnh: OMEGALUL
[12:02:15]  fredmanftw: Yeah night time :3
[12:02:25]  fredmanftw: It's been great lol finally relaxing after work
[12:02:30]  babsmcnh: ey jokes on u i got gifted this shit
[12:02:35]  chisasfam: Zetto you win 100 of the games you don’t lose
[12:03:11]  babsmcnh: i wonder why the fuck i started actually watching you
[12:03:54]  babsmcnh: like other offline chatters streamed idk i guess i just stuck with you
[12:04:13]  babsmcnh: i mean some people gifted me directly
[12:04:26]  babsmcnh: you didnt stream consistently last year OMEGALUL
[12:04:42]  chisasfam: The frick is an offline chatter
[12:04:46]  chisasfam: Confused
[12:04:50]  babsmcnh: ive been here 11 months and you started a consistent schedule within this month
[12:05:02]  babsmcnh: zetto and i met in clint stevens' offline chat
[12:05:09]  babsmcnh: 😳 i know, how romantic
[12:05:31]  babsmcnh: GOLD BOB POGGERS
[12:05:45]  babsmcnh: like not everyday consistent
[12:05:50]  chisasfam: Ahh
[12:06:03]  chisasfam: So like the stream after party
[12:06:06]  babsmcnh: yeyeyey for like 3-4 months you've been consistent i think???
[12:06:12] ブライトくん bright_f4: Hello I just found out I’m gay..and I blame you….
[12:06:19]  babsmcnh: OMEGALUL
[12:06:36]  chef_zack: i kinda wanna see how long he can go
[12:06:37]  babsmcnh: think you have an admirer
[12:06:54]  babsmcnh: he's already pbed without streaming Sadge
[12:06:59]  chisasfam: Clint stevens funeral + wake
[12:06:59]  nightbot: clintJAM
[12:07:09]  babsmcnh: you should title ur stream "clint stevens waiting room"
[12:07:19]  babsmcnh: thatd be funny as fuck
[12:07:47]  chisasfam: Does your title say short bc you’re short?
[12:08:08]  chef_zack: haha 4Head
[12:08:10]  babsmcnh: its not a joke though
[12:08:18]  babsmcnh: SadCatW poor zetto
[12:08:21] ブライトくん bright_f4: Do you play Like a Yakuza?
[12:08:34] ブライトくん bright_f4: Or Judgement?
[12:08:34]  chef_zack: years
[12:08:46]  babsmcnh: OMEGALUL
[12:08:58]  babsmcnh: he can stop streaming forever pretty sure
[12:09:05]  babsmcnh: he's saved his money
[12:09:08]  chisasfam: well you got a yellow so it’s okay
[12:09:11]  babsmcnh: and he invests and shit
[12:09:16]  chef_zack: dude if i was him id just invest money daily
[12:09:22]  chisasfam: Gn zetto, have a good rest of your day 💜
[12:09:26]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[12:09:29]  chisasfam: Gl on the rest of the runs
[12:09:33]  babsmcnh: night night :P
